id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,gross_pnl,total_fees,net_pnl,net_pnl_pct,balance_after,duration_seconds
BTCUSDT_long_1783581291302,BTCUSDT,long,0.0015887319504163113,62969.32169851881,62879.2191724882,1783581291.302785,1783581351.330318,-0.14314876191805123,0.19993959779504183,-0.34308835971309304,-0.3429464715143962,9999.656911640288,60.02753305435181
BTCUSDT_long_1783581351333,BTCUSDT,long,0.0015894670845265138,62939.64520539994,62889.51652680825,1783581351.3331525,1783581411.288278,-0.07967788461229873,0.20000131084690814,-0.2796791954592069,-0.2795659869858957,9999.37723244483,59.95512557029724
BTCUSDT_long_1783581471299,BTCUSDT,long,0.0015881475570616978,62988.33734122328,62979.56785588447,1783581471.299162,1783581531.282966,-0.01392723671752995,0.20005562090696621,-0.21398285762449618,-0.2139084729384407,9999.163249587204,59.98380398750305
BTCUSDT_long_1783581531301,BTCUSDT,long,0.0015868158921463979,63042.99213856795,63051.532914237134,1783581531.301343,1783581591.313133,0.01355263856312112,0.20008879626644321,-0.1865361577033221,-0.18646600580955497,9998.976713429502,60.01179003715515
BTCUSDT_long_1783581591316,BTCUSDT,long,0.0015850762972806506,63120.57225465308,63029.50209774837,1783581591.3165097,1783581651.4651904,-0.14435314709928354,0.19995749275618324,-0.3443106398554668,-0.34413539595420456,9998.632402789646,60.148680686950684
BTCUSDT_long_1783599719842,BTCUSDT,long,0.0015936254980079682,62776.03790274254,62686.494898603196,1783599719.8429377,1783599779.8685174,-0.14269801456468695,0.19994029131688565,-0.3426383058815726,-0.3424961882331439,9999.657361694119,60.02557969093323
BTCUSDT_long_1783742877225,BTCUSDT,long,0.0015600624024961,64127.19982907182,64063.75994843479,1783742877.2251258,1783742937.2768521,-0.09897017260067083,0.19998589668877786,-0.2989560692894487,-0.2988292657800746,9999.70104393071,60.05172634124756
BTCUSDT_long_1783743357240,BTCUSDT,long,0.0015592859884501341,64159.75459741436,64067.12002957162,1783743357.2401822,1783743417.346664,-0.14444378368331592,0.19994236894861125,-0.3443861526319272,-0.34423673197563237,9999.356657778078,60.1064817905426
